xx,xx,Isi_Tweet,xx,xx,xx xx,Source,Topic,Sentimen,xx
,,bahaya,,,,dictionary,vocabulary,-1,
,,buruk,,,,dictionary,vocabulary,-1,
,,berisik,,,,dictionary,vocabulary,-1,
,,bacok,,,,dictionary,vocabulary,-1,
,,bangkai,,,,dictionary,vocabulary,-1,
,,bangsat,,,,dictionary,vocabulary,-1,
,,bantai,,,,dictionary,vocabulary,-1,
,,barbar,,,,dictionary,vocabulary,-1,
,,basi,,,,dictionary,vocabulary,-1,
,,batal,,,,dictionary,vocabulary,-1,
,,bengis,,,,dictionary,vocabulary,-1,
,,preman,,,,dictionary,vocabulary,-1,
,,dosa,,,,dictionary,vocabulary,-1,
,,dusta,,,,dictionary,vocabulary,-1,
,,judi,,,,dictionary,vocabulary,-1,
,,kelit,,,,dictionary,vocabulary,-1,
,,laut,,,,dictionary,vocabulary,-1,
,,reklamasi,,,,dictionary,vocabulary,-1,
,,pantai,,,,dictionary,vocabulary,-1,
,,sumber,,,,dictionary,vocabulary,-1,
,,waras,,,,dictionary,vocabulary,-1,
,,khianat,,,,dictionary,vocabulary,-1,
,,kolusi,,,,dictionary,vocabulary,-1,
,,mewah,,,,dictionary,vocabulary,-1,
,,nafsu,,,,dictionary,vocabulary,-1,
,,noda,,,,dictionary,vocabulary,-1,
,,pecah,,,,dictionary,vocabulary,-1,
,,lubang,,,,dictionary,vocabulary,-1,
,,tabrak,,,,dictionary,vocabulary,-1,
,,bogem,,,,dictionary,vocabulary,-1,
,,tikai,,,,dictionary,vocabulary,-1,
,,biadab,,,,dictionary,vocabulary,-1,
,,blokir,,,,dictionary,vocabulary,-1,
,,bocor,,,,dictionary,vocabulary,-1,
,,boikot,,,,dictionary,vocabulary,-1,
,,larang,,,,dictionary,vocabulary,-1,
,,lari,,,,dictionary,vocabulary,-1,
,,bohong,,,,dictionary,vocabulary,-1,
,,buron,,,,dictionary,vocabulary,-1,
,,buyar,,,,dictionary,vocabulary,-1,
,,cacat,,,,dictionary,vocabulary,-1,
,,caplok,,,,dictionary,vocabulary,-1,
,,catut,,,,dictionary,vocabulary,-1,
,,cekal,,,,dictionary,vocabulary,-1,
,,cela,,,,dictionary,vocabulary,-1,
,,celaka,,,,dictionary,vocabulary,-1,
,,cemas,,,,dictionary,vocabulary,-1,
,,cemberut,,,,dictionary,vocabulary,-1,
,,miring,,,,dictionary,vocabulary,-1,
,,cengeng,,,,dictionary,vocabulary,-1,
,,cerca,,,,dictionary,vocabulary,-1,
,,ceroboh,,,,dictionary,vocabulary,-1,
,,congkak,,,,dictionary,vocabulary,-1,
,,contek,,,,dictionary,vocabulary,-1,
,,copet,,,,dictionary,vocabulary,-1,
,,petisi,,,,dictionary,vocabulary,-1,
,,curi,,,,dictionary,vocabulary,-1,
,,curiga,,,,dictionary,vocabulary,-1,
,,dakwa,,,,dictionary,vocabulary,-1,
,,damprat,,,,dictionary,vocabulary,-1,
,,defisit,,,,dictionary,vocabulary,-1,
,,dendam,,,,dictionary,vocabulary,-1,
,,dengki,,,,dictionary,vocabulary,-1,
,,derita,,,,dictionary,vocabulary,-1,
,,desak,,,,dictionary,vocabulary,-1,
,,hasut,,,,dictionary,vocabulary,-1,
,,jarah,,,,dictionary,vocabulary,-1,
,,jegal,,,,dictionary,vocabulary,-1,
,,kacau,,,,dictionary,vocabulary,-1,
,,kutuk,,,,dictionary,vocabulary,-1,
,,paksa,,,,dictionary,vocabulary,-1,
,,pecat,,,,dictionary,vocabulary,-1,
,,protes,,,,dictionary,vocabulary,-1,
,,rekayasa,,,,dictionary,vocabulary,-1,
,,rumit,,,,dictionary,vocabulary,-1,
,,santet,,,,dictionary,vocabulary,-1,
,,galau,,,,dictionary,vocabulary,-1,
,,gamang,,,,dictionary,vocabulary,-1,
,,ganas,,,,dictionary,vocabulary,-1,
,,genting,,,,dictionary,vocabulary,-1,
,,irasional,,,,dictionary,vocabulary,-1,
,,instan,,,,dictionary,vocabulary,-1,
,,kandas,,,,dictionary,vocabulary,-1,
,,balik,,,,dictionary,vocabulary,-1,
,,balikin,,,,dictionary,vocabulary,-1,
,,kalap,,,,dictionary,vocabulary,-1,
,,kecewa,,,,dictionary,vocabulary,-1,
,,kedok,,,,dictionary,vocabulary,-1,
,,mundur,,,,dictionary,vocabulary,-1,
,,konfil,,,,dictionary,vocabulary,-1,
,,kutuk,,,,dictionary,vocabulary,-1,
,,labil,,,,dictionary,vocabulary,-1,
,,lalai,,,,dictionary,vocabulary,-1,
,,pungli,,,,dictionary,vocabulary,-1,
,,lengser,,,,dictionary,vocabulary,-1,
,,makar,,,,dictionary,vocabulary,-1,
,,maki,,,,dictionary,vocabulary,-1,
,,lumpuh,,,,dictionary,vocabulary,-1,
,,mafia,,,,dictionary,vocabulary,-1,
,,mentah,,,,dictionary,vocabulary,-1,
,,malas,,,,dictionary,vocabulary,-1,
,,maksiat,,,,dictionary,vocabulary,-1,
,,mangkir,,,,dictionary,vocabulary,-1,
,,firaun,,,,dictionary,vocabulary,-1,
,,dalang,,,,dictionary,vocabulary,-1,
,,minus,,,,dictionary,vocabulary,-1,
,,mogok,,,,dictionary,vocabulary,-1,
,,mudharat,,,,dictionary,vocabulary,-1,
,,murtad,,,,dictionary,vocabulary,-1,
,,musnah,,,,dictionary,vocabulary,-1,
,,mustahil,,,,dictionary,vocabulary,-1,
,,musyrik,,,,dictionary,vocabulary,-1,
,,nahas,,,,dictionary,vocabulary,-1,
,,najis,,,,dictionary,vocabulary,-1,
,,narapidana,,,,dictionary,vocabulary,-1,
,,narkoba,,,,dictionary,vocabulary,-1,
,,negatif,,,,dictionary,vocabulary,-1,
,,neraka,,,,dictionary,vocabulary,-1,
,,ngacir,,,,dictionary,vocabulary,-1,
,,nihil,,,,dictionary,vocabulary,-1,
,,oleng,,,,dictionary,vocabulary,-1,
,,otoriter,,,,dictionary,vocabulary,-1,
,,pedih,,,,dictionary,vocabulary,-1,
,,pongah,,,,dictionary,vocabulary,-1,
,,prasangka,,,,dictionary,vocabulary,-1,
,,prihatin,,,,dictionary,vocabulary,-1,
,,masalah,,,,dictionary,vocabulary,-1,
,,pupus,,,,dictionary,vocabulary,-1,
,,ragu,,,,dictionary,vocabulary,-1,
,,rakus,,,,dictionary,vocabulary,-1,
,,radikal,,,,dictionary,vocabulary,-1,
,,rancu,,,,dictionary,vocabulary,-1,
,,rawan,,,,dictionary,vocabulary,-1,
,,remeh,,,,dictionary,vocabulary,-1,
,,rentan,,,,dictionary,vocabulary,-1,
,,roboh,,,,dictionary,vocabulary,-1,
,,riya,,,,dictionary,vocabulary,-1,
,,rusak,,,,dictionary,vocabulary,-1,
,,sajen,,,,dictionary,vocabulary,-1,
,,sakit,,,,dictionary,vocabulary,-1,
,,sangkal,,,,dictionary,vocabulary,-1,
,,sanksi,,,,dictionary,vocabulary,-1,
,,sangsi,,,,dictionary,vocabulary,-1,
,,santet,,,,dictionary,vocabulary,-1,
,,sekptis,,,,dictionary,vocabulary,-1,
,,sembarang,,,,dictionary,vocabulary,-1,
,,siluman,,,,dictionary,vocabulary,-1,
,,siksa,,,,dictionary,vocabulary,-1,
,,sindir,,,,dictionary,vocabulary,-1,
,,sita,,,,dictionary,vocabulary,-1,
,,sinis,,,,dictionary,vocabulary,-1,
,,sindikat,,,,dictionary,vocabulary,-1,
,,sesumbar,,,,dictionary,vocabulary,-1,
,,sengketa,,,,dictionary,vocabulary,-1,
,,somasi,,,,dictionary,vocabulary,-1,
,,sombong,,,,dictionary,vocabulary,-1,
,,sontoloyo,,,,dictionary,vocabulary,-1,
,,stagnan,,,,dictionary,vocabulary,-1,
,,suap,,,,dictionary,vocabulary,-1,
,,kamiahok,,,,dictionary,vocabulary,-1,
,,sundal,,,,dictionary,vocabulary,-1,
,,suram,,,,dictionary,vocabulary,-1,
,,tega,,,,dictionary,vocabulary,-1,
,,lantar,,,,dictionary,vocabulary,-1,
,,tiran,,,,dictionary,vocabulary,-1,
,,tipikor,,,,dictionary,vocabulary,-1,
,,timpang,,,,dictionary,vocabulary,-1,
,,tilap,,,,dictionary,vocabulary,-1,
,,tiru,,,,dictionary,vocabulary,-1,
,,todong,,,,dictionary,vocabulary,-1,
,,waspada,,,,dictionary,vocabulary,-1,
,,telan,,,,dictionary,vocabulary,-1,
,,perbaiki,,,,dictionary,vocabulary,-1,
,,segini,,,,dictionary,vocabulary,-1,
,,kucingkurap,,,,dictionary,vocabulary,-1,
,,seimankucingkurap,,,,dictionary,vocabulary,-1,
,,nyengir,,,,dictionary,vocabulary,-1,
,,acak-acakan,,,,dictionary,vocabulary,-1,
,,adu,,,,dictionary,vocabulary,-1,
,,adu domba,,,,dictionary,vocabulary,-1,
,,aib,,,,dictionary,vocabulary,-1,
,,akal bulus,,,,dictionary,vocabulary,-1,
,,alasan saja,,,,dictionary,vocabulary,-1,
,,alibi,,,,dictionary,vocabulary,-1,
,,aliran,,,,dictionary,vocabulary,-1,
,,amatir,,,,dictionary,vocabulary,-1,
,,ambisi,,,,dictionary,vocabulary,-1,
,,ambisius,,,,dictionary,vocabulary,-1,
,,ambruk,,,,dictionary,vocabulary,-1,
,,amburadul,,,,dictionary,vocabulary,-1,
,,ampas,,,,dictionary,vocabulary,-1,
,,amputasi,,,,dictionary,vocabulary,-1,
,,amuk,,,,dictionary,vocabulary,-1,
,,anarkis,,,,dictionary,vocabulary,-1,
,,ancam,,,,dictionary,vocabulary,-1,
,,ancaman,,,,dictionary,vocabulary,-1,
,,aneh,,,,dictionary,vocabulary,-1,
,,angin kencang,,,,dictionary,vocabulary,-1,
,,apa boleh buat,,,,dictionary,vocabulary,-1,
,,apatis,,,,dictionary,vocabulary,-1,
,,asal,,,,dictionary,vocabulary,-1,
,,babak belur,,,,dictionary,vocabulary,-1,
,,bacokan,,,,dictionary,vocabulary,-1,
,,bagaimana mau,,,,dictionary,vocabulary,-1,
,,bagaimana mungkin,,,,dictionary,vocabulary,-1,
,,bahaya,,,,dictionary,vocabulary,-1,
,,bahayakan,,,,dictionary,vocabulary,-1,
,,bakteri,,,,dictionary,vocabulary,-1,
,,baku hantam,,,,dictionary,vocabulary,-1,
,,balas dendam,,,,dictionary,vocabulary,-1,
,,bandel,,,,dictionary,vocabulary,-1,
,,bangkai,,,,dictionary,vocabulary,-1,
,,bangkrut,,,,dictionary,vocabulary,-1,
,,bangsat,,,,dictionary,vocabulary,-1,
,,banjir,,,,dictionary,vocabulary,-1,
,,bantah,,,,dictionary,vocabulary,-1,
,,bantai,,,,dictionary,vocabulary,-1,
,,banyak cincong,,,,dictionary,vocabulary,-1,
,,banyak cingcong,,,,dictionary,vocabulary,-1,
,,banyak pertanyaan,,,,dictionary,vocabulary,-1,
,,banyak tingkah,,,,dictionary,vocabulary,-1,
,,barbar,,,,dictionary,vocabulary,-1,
,,barbarisme,,,,dictionary,vocabulary,-1,
,,basi,,,,dictionary,vocabulary,-1,
,,batal,,,,dictionary,vocabulary,-1,
,,batalkan,,,,dictionary,vocabulary,-1,
,,batuk-batuk,,,,dictionary,vocabulary,-1,
,,bawah tangan,,,,dictionary,vocabulary,-1,
,,bebal,,,,dictionary,vocabulary,-1,
,,beber,,,,dictionary,vocabulary,-1,
,,bekeluyuran,,,,dictionary,vocabulary,-1,
,,bekoar,,,,dictionary,vocabulary,-1,
,,belingsatan,,,,dictionary,vocabulary,-1,
,,belum begitu dekat,,,,dictionary,vocabulary,-1,
,,bencana,,,,dictionary,vocabulary,-1,
,,bengis,,,,dictionary,vocabulary,-1,
,,bengkak,,,,dictionary,vocabulary,-1,
,,beracun,,,,dictionary,vocabulary,-1,
,,berakal bulus,,,,dictionary,vocabulary,-1,
,,beralkohol,,,,dictionary,vocabulary,-1,
,,berantakan,,,,dictionary,vocabulary,-1,
,,berbahaya,,,,dictionary,vocabulary,-1,
,,berbanding terbalik,,,,dictionary,vocabulary,-1,
,,berbantah-bantahan,,,,dictionary,vocabulary,-1,
,,berbantahan,,,,dictionary,vocabulary,-1,
,,berbelit-belit,,,,dictionary,vocabulary,-1,
,,berbenturan,,,,dictionary,vocabulary,-1,
,,berbohong,,,,dictionary,vocabulary,-1,
,,berborok,,,,dictionary,vocabulary,-1,
,,bercampur aduk,,,,dictionary,vocabulary,-1,
,,berdaki,,,,dictionary,vocabulary,-1,
,,berdalih,,,,dictionary,vocabulary,-1,
,,berdarah,,,,dictionary,vocabulary,-1,
,,berdarah dingin,,,,dictionary,vocabulary,-1,
,,berdebat,,,,dictionary,vocabulary,-1,
,,berdemo,,,,dictionary,vocabulary,-1,
,,berdemonstrasi,,,,dictionary,vocabulary,-1,
,,berdesak-desakan,,,,dictionary,vocabulary,-1,
,,berdesakan,,,,dictionary,vocabulary,-1,
,,berdosa,,,,dictionary,vocabulary,-1,
,,berduka cita,,,,dictionary,vocabulary,-1,
,,berdusta,,,,dictionary,vocabulary,-1,
,,beresiko,,,,dictionary,vocabulary,-1,
,,berfoya-foya,,,,dictionary,vocabulary,-1,
,,bergelandangan,,,,dictionary,vocabulary,-1,
,,bergentayangan,,,,dictionary,vocabulary,-1,
,,bergidik,,,,dictionary,vocabulary,-1,
,,bergontok-gontokan,,,,dictionary,vocabulary,-1,
,,bergontokan,,,,dictionary,vocabulary,-1,
,,bergosip,,,,dictionary,vocabulary,-1,
,,bergunjing,,,,dictionary,vocabulary,-1,
,,berhamburan,,,,dictionary,vocabulary,-1,
,,berhantu,,,,dictionary,vocabulary,-1,
,,berhura-hura,,,,dictionary,vocabulary,-1,
,,berhutang,,,,dictionary,vocabulary,-1,
,,beriba-iba,,,,dictionary,vocabulary,-1,
,,berimbas,,,,dictionary,vocabulary,-1,
,,berimpitan,,,,dictionary,vocabulary,-1,
,,beringas,,,,dictionary,vocabulary,-1,
,,berisik,,,,dictionary,vocabulary,-1,
,,berisiko,,,,dictionary,vocabulary,-1,
,,berjangkit,,,,dictionary,vocabulary,-1,
,,berjatuhan,,,,dictionary,vocabulary,-1,
,,berjejal,,,,dictionary,vocabulary,-1,
,,berjudi,,,,dictionary,vocabulary,-1,
,,berkabung,,,,dictionary,vocabulary,-1,
,,berkacak pinggang,,,,dictionary,vocabulary,-1,
,,berkasak-kusuk,,,,dictionary,vocabulary,-1,
,,berkecamuk,,,,dictionary,vocabulary,-1,
,,berkecil hati,,,,dictionary,vocabulary,-1,
,,berkedok,,,,dictionary,vocabulary,-1,
,,berkelahi,,,,dictionary,vocabulary,-1,
,,berkelainan,,,,dictionary,vocabulary,-1,
,,berkeliaran,,,,dictionary,vocabulary,-1,
,,berkelit,,,,dictionary,vocabulary,-1,
,,berkeluyuran,,,,dictionary,vocabulary,-1,
,,berkerut,,,,dictionary,vocabulary,-1,
,,berkhalwat,,,,dictionary,vocabulary,-1,
,,berkhianat,,,,dictionary,vocabulary,-1,
,,berkilah,,,,dictionary,vocabulary,-1,
,,berkoar,,,,dictionary,vocabulary,-1,
,,berkoar-koar,,,,dictionary,vocabulary,-1,
,,berkolusi,,,,dictionary,vocabulary,-1,
,,berkomplot,,,,dictionary,vocabulary,-1,
,,berkonflik,,,,dictionary,vocabulary,-1,
,,berkongkalikong,,,,dictionary,vocabulary,-1,
,,berkotor-kotor,,,,dictionary,vocabulary,-1,
,,berkuman,,,,dictionary,vocabulary,-1,
,,berkunang-kunang,,,,dictionary,vocabulary,-1,
,,berkutu,,,,dictionary,vocabulary,-1,
,,berlagak,,,,dictionary,vocabulary,-1,
,,berlawanan,,,,dictionary,vocabulary,-1,
,,berlebih-lebihan,,,,dictionary,vocabulary,-1,
,,berlebihan,,,,dictionary,vocabulary,-1,
,,berleha-leha,,,,dictionary,vocabulary,-1,
,,berliku,,,,dictionary,vocabulary,-1,
,,berliku-liku,,,,dictionary,vocabulary,-1,
,,berlinang,,,,dictionary,vocabulary,-1,
,,berlinangan,,,,dictionary,vocabulary,-1,
,,berlubang,,,,dictionary,vocabulary,-1,
,,berlubang-lubang,,,,dictionary,vocabulary,-1,
,,bermadat,,,,dictionary,vocabulary,-1,
,,bermadu,,,,dictionary,vocabulary,-1,
,,bermasalah,,,,dictionary,vocabulary,-1,
,,bermegah-megah,,,,dictionary,vocabulary,-1,
,,bermesum,,,,dictionary,vocabulary,-1,
,,bermewah-mewah,,,,dictionary,vocabulary,-1,
,,bermewah-mewahan,,,,dictionary,vocabulary,-1,
,,bermuram,,,,dictionary,vocabulary,-1,
,,bermusuhan,,,,dictionary,vocabulary,-1,
,,bernafsu,,,,dictionary,vocabulary,-1,
,,bernoda,,,,dictionary,vocabulary,-1,
,,berolok-olok,,,,dictionary,vocabulary,-1,
,,berpaling,,,,dictionary,vocabulary,-1,
,,berpangku tangan,,,,dictionary,vocabulary,-1,
,,berpecah belah,,,,dictionary,vocabulary,-1,
,,berpenyakit,,,,dictionary,vocabulary,-1,
,,berpidana,,,,dictionary,vocabulary,-1,
,,berpisah,,,,dictionary,vocabulary,-1,
,,berpolemik,,,,dictionary,vocabulary,-1,
,,berpongah-pongah,,,,dictionary,vocabulary,-1,
,,berprasangka,,,,dictionary,vocabulary,-1,
,,berprasangka buruk,,,,dictionary,vocabulary,-1,
,,berpretensi,,,,dictionary,vocabulary,-1,
,,berpropaganda,,,,dictionary,vocabulary,-1,
,,berpura-pura,,,,dictionary,vocabulary,-1,
,,berpusing-pusing,,,,dictionary,vocabulary,-1,
,,bersalah,,,,dictionary,vocabulary,-1,
,,bersandiwara,,,,dictionary,vocabulary,-1,
,,bersikut-sikutan,,,,dictionary,vocabulary,-1,
,,bersikutan,,,,dictionary,vocabulary,-1,
,,bersilang sengketa,,,,dictionary,vocabulary,-1,
,,bersilangan,,,,dictionary,vocabulary,-1,
,,bersilat lidah,,,,dictionary,vocabulary,-1,
,,bersimpang siur,,,,dictionary,vocabulary,-1,
,,bersinggungan,,,,dictionary,vocabulary,-1,
,,bersitegang,,,,dictionary,vocabulary,-1,
,,berspekulasi,,,,dictionary,vocabulary,-1,
,,bersungut,,,,dictionary,vocabulary,-1,
,,bersungut-sungut,,,,dictionary,vocabulary,-1,
,,bersusah hati,,,,dictionary,vocabulary,-1,
,,bersyubhat,,,,dictionary,vocabulary,-1,
,,bertabrakan,,,,dictionary,vocabulary,-1,
,,bertanggung jawab,,,,dictionary,vocabulary,-1,
,,bertele-tele,,,,dictionary,vocabulary,-1,
,,bertengkar,,,,dictionary,vocabulary,-1,
,,bertentangan,,,,dictionary,vocabulary,-1,
,,berteriak,,,,dictionary,vocabulary,-1,
,,berteriak-teriak,,,,dictionary,vocabulary,-1,
,,bertikai,,,,dictionary,vocabulary,-1,
,,bertingkah,,,,dictionary,vocabulary,-1,
,,bertubrukan,,,,dictionary,vocabulary,-1,
,,bertumpang tindih,,,,dictionary,vocabulary,-1,
,,bertumpang-tindih,,,,dictionary,vocabulary,-1,
,,berulah,,,,dictionary,vocabulary,-1,
,,berulat,,,,dictionary,vocabulary,-1,
,,berunjuk rasa,,,,dictionary,vocabulary,-1,
,,berurusan,,,,dictionary,vocabulary,-1,
,,berusuh,,,,dictionary,vocabulary,-1,
,,berutang,,,,dictionary,vocabulary,-1,
,,berzina,,,,dictionary,vocabulary,-1,
,,berzinah,,,,dictionary,vocabulary,-1,
,,biadab,,,,dictionary,vocabulary,-1,
,,biang keladi,,,,dictionary,vocabulary,-1,
,,biang kerusuhan,,,,dictionary,vocabulary,-1,
,,biangnya,,,,dictionary,vocabulary,-1,
,,bimbang,,,,dictionary,vocabulary,-1,
,,binasa,,,,dictionary,vocabulary,-1,
,,bingung,,,,dictionary,vocabulary,-1,
,,bintik,,,,dictionary,vocabulary,-1,
,,blak-blakan,,,,dictionary,vocabulary,-1,
,,blokir,,,,dictionary,vocabulary,-1,
,,bocor,,,,dictionary,vocabulary,-1,
,,bocoran,,,,dictionary,vocabulary,-1,
,,bodoh,,,,dictionary,vocabulary,-1,
,,bogem,,,,dictionary,vocabulary,-1,
,,bohong,,,,dictionary,vocabulary,-1,
,,boikot,,,,dictionary,vocabulary,-1,
,,bokek,,,,dictionary,vocabulary,-1,
,,bolak-balik,,,,dictionary,vocabulary,-1,
,,bolong-bolong,,,,dictionary,vocabulary,-1,
,,bolos,,,,dictionary,vocabulary,-1,
,,bom,,,,dictionary,vocabulary,-1,
,,bombardir,,,,dictionary,vocabulary,-1,
,,bordil,,,,dictionary,vocabulary,-1,
,,borgol,,,,dictionary,vocabulary,-1,
,,borjuis,,,,dictionary,vocabulary,-1,
,,boro-boro,,,,dictionary,vocabulary,-1,
,,borok,,,,dictionary,vocabulary,-1,
,,borokan,,,,dictionary,vocabulary,-1,
,,boros,,,,dictionary,vocabulary,-1,
,,bosan,,,,dictionary,vocabulary,-1,
,,bt,,,,dictionary,vocabulary,-1,
,,bual,,,,dictionary,vocabulary,-1,
,,bualan,,,,dictionary,vocabulary,-1,
,,buangan,,,,dictionary,vocabulary,-1,
,,buas,,,,dictionary,vocabulary,-1,
,,bukan-bukan,,,,dictionary,vocabulary,-1,
,,buku hitam,,,,dictionary,vocabulary,-1,
,,bulan tua,,,,dictionary,vocabulary,-1,
,,bulan-bulanan,,,,dictionary,vocabulary,-1,
,,bulukan,,,,dictionary,vocabulary,-1,
,,bungkam,,,,dictionary,vocabulary,-1,
,,buntu,,,,dictionary,vocabulary,-1,
,,bunuh,,,,dictionary,vocabulary,-1,
,,bunuh diri,,,,dictionary,vocabulary,-1,
,,buron,,,,dictionary,vocabulary,-1,
,,buronan,,,,dictionary,vocabulary,-1,
,,buruh kasar,,,,dictionary,vocabulary,-1,
,,buruk,,,,dictionary,vocabulary,-1,
